V1,V2,V3,w1,w2,w3,d1,d2,n,a,b,theta
-98,12,-5,20,13,31,6,6,1,92.15336608886719,113.83497619628906,1.1251513957977295
-98,12,-5,35,13,19,5,6,3,110.88157653808594,123.96996307373047,94.41472625732422
-98,12,-10,20,10,25,5,7,1,101.46687316894531,102.82260131835938,171.44552612304688
-98,12,0,23,15,7,5,6,1,79.8419418334961,135.4712677001953,1.1345081329345703
-98,12,-10,20,10,19,6,6,1,100.30077362060547,104.12904357910156,176.8297882080078
-98,12,0,32,13,16,7,5,1,124.00750732421875,125.14087677001953,104.4243392944336
-98,12,-5,23,15,7,6,5,1,76.60474395751953,135.3616485595703,1.8473656177520752
-98,12,0,35,14,31,7,6,1,110.13369750976562,125.66387939453125,92.34477233886719
-98,12,-5,35,14,19,6,6,1,110.78629302978516,124.85128021240234,94.2304458618164
-98,12,-5,20,10,31,7,5,1,101.15941619873047,103.26622772216797,169.70245361328125
-98,12,0,35,14,4,7,7,1,109.93236541748047,125.40592956542969,92.5981216430664
-98,12,0,20,15,10,6,7,1,84.80349731445312,123.68514251708984,2.791384220123291
-98,12,0,26,10,28,5,6,2,101.93466186523438,125.76905059814453,0.9008113741874695
-98,12,0,35,10,19,7,5,1,110.17939758300781,125.91677856445312,91.97073364257812
-98,12,0,32,15,22,5,7,1,123.1313247680664,126.77445220947266,96.15744018554688
-98,12,0,29,11,7,5,6,1,112.75515747070312,125.12606811523438,179.41961669921875
-98,12,-5,26,13,7,5,5,2,98.66743469238281,126.1143569946289,1.4660464525222778
-98,12,0,32,10,19,6,7,1,123.1401138305664,127.49047088623047,95.68587493896484
-98,12,-5,23,11,25,7,6,1,84.10723114013672,131.09872436523438,1.213042974472046
-98,12,-5,29,11,10,6,7,1,111.56989288330078,124.80770111083984,179.0489501953125
-98,12,-5,29,14,1,6,7,2,109.93571472167969,125.00180053710938,179.27955627441406
-98,12,-5,26,12,22,7,7,1,103.14519500732422,129.899658203125,1.6558340787887573
-98,12,-5,20,11,1,5,5,1,100.63587188720703,104.09776306152344,175.0848388671875
-98,12,0,20,13,10,5,6,1,84.26883697509766,123.23117065429688,2.1271536350250244
-98,12,0,23,14,7,7,6,1,78.63268280029297,135.64891052246094,1.6949867010116577
-98,12,0,23,11,16,6,6,1,89.46952819824219,131.3668670654297,1.1569255590438843
-98,12,-5,32,11,25,7,5,1,123.48593139648438,125.47794342041016,101.15409088134766
-98,12,0,20,14,19,5,6,1,82.97230529785156,124.36140441894531,2.131443500518799
-98,12,0,32,10,4,5,5,1,123.2554931640625,127.0298080444336,96.04678344726562
-98,12,-5,32,15,13,7,5,2,123.5008316040039,124.4813003540039,115.73698425292969
-98,12,-5,35,12,13,5,7,2,110.60633087158203,123.57881164550781,93.79242706298828
-98,12,-5,29,11,19,5,6,1,111.7858657836914,124.70121002197266,179.3370819091797
-98,12,-5,23,10,25,6,5,1,79.6869888305664,133.56529235839844,1.2915624380111694
-98,12,-5,35,14,28,6,6,1,110.88462829589844,124.38571166992188,92.56965637207031
-98,12,-5,35,13,31,7,6,1,111.23980712890625,122.80575561523438,94.54841613769531
-98,12,-5,26,10,1,5,7,1,76.72416687011719,136.5497589111328,2.111572265625
